age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
working adult,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,full-time,United-States,>50K
working adult,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,United-States,>50K
young adult,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,part-time,United-States,<=50K
working adult,Private,Bachelors,Separated,Sales,Own-child,Black,Female,full-time,United-States,<=50K
working adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,overtime,United-States,>50K
young adult,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,full-time,United-States,<=50K
retirement,Private,Some-college,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,part-time,United-States,<=50K
working adult,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,full-time,Mexico,<=50K
working adult,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,full-time,United-States,<=50K
young adult,Private,11th,Never-married,Other-service,Own-child,White,Female,part-time,United-States,<=50K
working adult,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,full-time,United-States,<=50K
young adult,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,part-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,full-time,Cuba,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,full-time,United-States,>50K
working adult,Private,HS-grad,Divorced,Sales,Own-child,White,Female,full-time,United-States,<=50K
working adult,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,full-time,United-States,>50K
working adult,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,9th,Never-married,Sales,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Federal-gov,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,overtime,United-States,>50K
working adult,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Female,full-time,United-States,<=50K
working adult,Private,Some-college,Divorced,Machine-op-inspct,Unmarried,Black,Female,part-time,United-States,<=50K
working adult,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,full-time,United-States,>50K
working adult,Local-gov,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,>50K
working adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,overtime,United-States,>50K
working adult,Private,Assoc-acdm,Divorced,Exec-managerial,Unmarried,White,Female,full-time,England,<=50K
working adult,Federal-gov,HS-grad,Never-married,Other-service,Own-child,Black,Male,full-time,United-States,<=50K
retirement,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
working adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,United-States,>50K
working adult,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,overtime,United-States,<=50K
young adult,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,full-time,United-States,<=50K
working adult,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
working adult,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,full-time,United-States,<=50K
working adult,Local-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,full-time,United-States,<=50K
young adult,Private,Bachelors,Never-married,Sales,Other-relative,White,Male,full-time,United-States,<=50K
working adult,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
working adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,overtime,Canada,>50K
working adult,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,part-time,United-States,<=50K
working adult,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,full-time,United-States,<=50K
working adult,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,overtime,United-States,<=50K
working adult,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,overtime,United-States,<=50K
working adult,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Black,Male,full-time,United-States,>50K
working adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,overtime,United-States,<=50K
young adult,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,overtime,United-States,<=50K
young adult,Private,Some-college,Never-married,Other-service,Own-child,White,Female,full-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,Bachelors,Never-married,Exec-managerial,Own-child,Black,Male,full-time,Germany,<=50K
working adult,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,>50K
young adult,Private,Some-college,Never-married,Other-service,Own-child,Black,Male,full-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,full-time,United-States,>50K
young adult,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,part-time,United-States,<=50K
working adult,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,full-time,United-States,>50K
working adult,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Private,Assoc-acdm,Never-married,Sales,Not-in-family,White,Female,overtime,United-States,<=50K
young adult,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,Assoc-acdm,Divorced,Tech-support,Not-in-family,Black,Female,full-time,United-States,<=50K
working adult,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,Iran,>50K
working adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,full-time,United-States,<=50K
young adult,Private,Some-college,Never-married,Sales,Own-child,White,Male,part-time,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,full-time,United-States,>50K
working adult,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,Some-college,Never-married,Sales,Own-child,White,Female,full-time,United-States,<=50K
young adult,Private,Some-college,Never-married,Other-service,Own-child,White,Male,part-time,Mexico,<=50K
working adult,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,full-time,United-States,>50K
retirement,Private,Some-college,Never-married,Tech-support,Other-relative,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Never-married,Transport-moving,Unmarried,Black,Female,part-time,United-States,<=50K
young adult,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,part-time,United-States,<=50K
working adult,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,part-time,United-States,<=50K
retirement,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
working adult,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,full-time,Mexico,<=50K
working adult,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,Bachelors,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,full-time,Philippines,<=50K
young adult,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,overtime,United-States,<=50K
young adult,Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,full-time,United-States,<=50K
retirement,Self-emp-not-inc,Some-college,Separated,Sales,Unmarried,Black,Male,part-time,United-States,<=50K
working adult,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,Private,Bachelors,Separated,Other-service,Other-relative,Black,Male,overtime,United-States,<=50K
working adult,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,full-time,United-States,<=50K
working adult,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,full-time,United-States,<=50K
working adult,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,full-time,England,<=50K
working adult,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,>50K
working adult,Private,Some-college,Divorced,Other-service,Unmarried,White,Female,full-time,Mexico,<=50K
working adult,Federal-gov,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,State-gov,Masters,Widowed,Protective-serv,Unmarried,White,Male,full-time,United-States,<=50K
young adult,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,part-time,United-States,<=50K
retirement,Local-gov,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,part-time,United-States,<=50K
working adult,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,>50K
working adult,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
working adult,Private,HS-grad,Married-spouse-absent,Sales,Unmarried,White,Female,part-time,United-States,<=50K
young adult,Private,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,full-time,United-States,<=50K
young adult,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,part-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,<=50K
working adult,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,full-time,United-States,>50K
working adult,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male,overtime,United-States,<=50K
working adult,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,Mexico,>50K
working adult,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,overtime,United-States,>50K
working adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,full-time,United-States,<=50K
working adult,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,overtime,United-States,<=50K
working adult,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,part-time,United-States,>50K
working adult,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,Black,Female,part-time,United-States,<=50K
young adult,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,United-States,<=50K
working adult,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,Black,Male,full-time,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,overtime,United-States,<=50K
working adult,Federal-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,part-time,United-States,<=50K
young adult,Private,5th-6th,Married-civ-spouse,Transport-moving,Other-relative,White,Male,full-time,Mexico,<=50K
working adult,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Federal-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,overtime,United-States,>50K
working adult,Private,Masters,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,full-time,United-States,>50K
young adult,Self-emp-not-inc,HS-grad,Never-married,Sales,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,United-States,>50K
working adult,Local-gov,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,State-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,full-time,United-States,<=50K
young adult,Private,11th,Never-married,Sales,Own-child,White,Female,full-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Other-service,Husband,Black,Male,full-time,United-States,>50K
working adult,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,full-time,United-States,>50K
childhood,Private,11th,Never-married,Sales,Own-child,White,Female,part-time,United-States,<=50K
working adult,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
working adult,Private,Some-college,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,full-time,United-States,<=50K
working adult,Self-emp-inc,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,United-States,>50K
working adult,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,Male,overtime,United-States,>50K
working adult,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,overtime,Poland,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,10th,Never-married,Craft-repair,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,full-time,United-States,<=50K
retirement,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,part-time,United-States,<=50K
working adult,Local-gov,Preschool,Never-married,Machine-op-inspct,Not-in-family,White,Female,full-time,United-States,<=50K
young adult,Private,HS-grad,Never-married,Sales,Own-child,White,Female,full-time,United-States,<=50K
retirement,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,overtime,United-States,<=50K
retirement,Private,Assoc-voc,Widowed,Adm-clerical,Not-in-family,White,Female,part-time,Columbia,<=50K
retirement,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,11th,Separated,Transport-moving,Not-in-family,Black,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Divorced,Sales,Unmarried,Black,Female,full-time,United-States,<=50K
working adult,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,Private,Some-college,Divorced,Craft-repair,Other-relative,Other,Female,full-time,United-States,<=50K
working adult,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,overtime,United-States,>50K
working adult,State-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,full-time,United-States,<=50K
working adult,State-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,Iran,>50K
working adult,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,United-States,>50K
young adult,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,full-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
working adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,part-time,United-States,<=50K
young adult,State-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,overtime,United-States,>50K
working adult,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,part-time,United-States,<=50K
working adult,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,overtime,United-States,>50K
working adult,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,full-time,United-States,>50K
working adult,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Black,Female,full-time,United-States,<=50K
working adult,Local-gov,10th,Widowed,Other-service,Unmarried,Black,Female,part-time,United-States,<=50K
young adult,Local-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Male,full-time,United-States,<=50K
working adult,Private,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,part-time,United-States,<=50K
working adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,full-time,Cambodia,>50K
young adult,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,full-time,United-States,<=50K
working adult,Private,HS-grad,Separated,Other-service,Not-in-family,White,Female,part-time,United-States,<=50K
working adult,Private,Assoc-voc,Widowed,Exec-managerial,Not-in-family,White,Female,overtime,United-States,<=50K
working adult,Private,7th-8th,Divorced,Craft-repair,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Private,Bachelors,Divorced,Prof-specialty,Own-child,White,Female,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,overtime,United-States,<=50K
childhood,Private,11th,Never-married,Other-service,Own-child,White,Male,part-time,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
working adult,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,overtime,Thailand,>50K
retirement,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
working adult,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,overtime,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Wife,White,Female,full-time,United-States,>50K
working adult,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
childhood,Private,9th,Never-married,Other-service,Own-child,White,Male,part-time,United-States,<=50K
working adult,Self-emp-not-inc,Masters,Married-civ-spouse,Farming-fishing,Husband,White,Male,overtime,United-States,<=50K
working adult,Local-gov,Masters,Never-married,Prof-specialty,Own-child,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Divorced,Prof-specialty,Own-child,White,Female,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,full-time,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
working adult,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,full-time,United-States,<=50K
young adult,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,overtime,United-States,>50K
young adult,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,part-time,Germany,<=50K
working adult,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
working adult,Private,Assoc-acdm,Divorced,Sales,Unmarried,Black,Female,overtime,United-States,<=50K
working adult,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,overtime,United-States,<=50K
young adult,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,full-time,United-States,<=50K
working adult,Federal-gov,Masters,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,>50K
working adult,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,>50K
working adult,Private,Some-college,Divorced,Other-service,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,full-time,United-States,<=50K
